收藏品名称,皮肤名称,品质,磨损区间,磨损,buff_goods_id,收藏品英文名称,品质代码,市场哈希名称,crate_id,price_buff
CS20 Case,AWP | 野火,隐秘级,0.01 ~ 0.7,崭新出厂,773715,CS20 Case,rarity_ancient_weapon,AWP | Wildfire,crate-4669,1117.99
CS20 Case,AWP | 野火,隐秘级,0.01 ~ 0.7,略有磨损,773720,CS20 Case,rarity_ancient_weapon,AWP | Wildfire,crate-4669,457.49
CS20 Case,AWP | 野火,隐秘级,0.01 ~ 0.7,久经沙场,773698,CS20 Case,rarity_ancient_weapon,AWP | Wildfire,crate-4669,299.5
CS20 Case,AWP | 野火,隐秘级,0.01 ~ 0.7,破损不堪,773734,CS20 Case,rarity_ancient_weapon,AWP | Wildfire,crate-4669,318.9
CS20 Case,AWP | 野火,隐秘级,0.01 ~ 0.7,战痕累累,773691,CS20 Case,rarity_ancient_weapon,AWP | Wildfire,crate-4669,258.6
CS20 Case,AWP（StatTrak™） | 野火,隐秘级,0.01 ~ 0.7,崭新出厂,773777,CS20 Case,rarity_ancient_weapon,StatTrak™ AWP | Wildfire,crate-4669,1955.0
CS20 Case,AWP（StatTrak™） | 野火,隐秘级,0.01 ~ 0.7,略有磨损,773713,CS20 Case,rarity_ancient_weapon,StatTrak™ AWP | Wildfire,crate-4669,973.5
CS20 Case,AWP（StatTrak™） | 野火,隐秘级,0.01 ~ 0.7,久经沙场,773774,CS20 Case,rarity_ancient_weapon,StatTrak™ AWP | Wildfire,crate-4669,591.41
CS20 Case,AWP（StatTrak™） | 野火,隐秘级,0.01 ~ 0.7,破损不堪,773819,CS20 Case,rarity_ancient_weapon,StatTrak™ AWP | Wildfire,crate-4669,747.48
CS20 Case,AWP（StatTrak™） | 野火,隐秘级,0.01 ~ 0.7,战痕累累,773805,CS20 Case,rarity_ancient_weapon,StatTrak™ AWP | Wildfire,crate-4669,619.39
CS20 Case,法玛斯 | 纪念碑,隐秘级,0 ~ 0.5,崭新出厂,773668,CS20 Case,rarity_ancient_weapon,FAMAS | Commemoration,crate-4669,546.13
CS20 Case,法玛斯 | 纪念碑,隐秘级,0 ~ 0.5,略有磨损,773757,CS20 Case,rarity_ancient_weapon,FAMAS | Commemoration,crate-4669,219.0
CS20 Case,法玛斯 | 纪念碑,隐秘级,0 ~ 0.5,久经沙场,773688,CS20 Case,rarity_ancient_weapon,FAMAS | Commemoration,crate-4669,210.5
CS20 Case,法玛斯 | 纪念碑,隐秘级,0 ~ 0.5,破损不堪,773742,CS20 Case,rarity_ancient_weapon,FAMAS | Commemoration,crate-4669,209.0
CS20 Case,法玛斯 | 纪念碑,隐秘级,0 ~ 0.5,破损不堪,773776,CS20 Case,rarity_ancient_weapon,FAMAS | Commemoration,crate-4669,209.0
