收藏品名称,皮肤名称,品质,磨损区间,磨损,buff_goods_id,收藏品英文名称,品质代码,市场哈希名称,crate_id,price_buff
CS20 Case,AWP | 野火,隐秘级,0.01 ~ 0.7,崭新出厂,773715,CS20 Case,rarity_ancient_weapon,AWP | Wildfire,crate-4669,999.5
CS20 Case,AWP | 野火,隐秘级,0.01 ~ 0.7,略有磨损,773720,CS20 Case,rarity_ancient_weapon,AWP | Wildfire,crate-4669,436.0
CS20 Case,AWP | 野火,隐秘级,0.01 ~ 0.7,久经沙场,773698,CS20 Case,rarity_ancient_weapon,AWP | Wildfire,crate-4669,270.98
CS20 Case,AWP | 野火,隐秘级,0.01 ~ 0.7,破损不堪,773734,CS20 Case,rarity_ancient_weapon,AWP | Wildfire,crate-4669,316.61
CS20 Case,AWP | 野火,隐秘级,0.01 ~ 0.7,战痕累累,773691,CS20 Case,rarity_ancient_weapon,AWP | Wildfire,crate-4669,220.29
CS20 Case,AWP（StatTrak™） | 野火,隐秘级,0.01 ~ 0.7,崭新出厂,773777,CS20 Case,rarity_ancient_weapon,StatTrak™ AWP | Wildfire,crate-4669,1694.0
CS20 Case,AWP（StatTrak™） | 野火,隐秘级,0.01 ~ 0.7,略有磨损,773713,CS20 Case,rarity_ancient_weapon,StatTrak™ AWP | Wildfire,crate-4669,1039.09
CS20 Case,AWP（StatTrak™） | 野火,隐秘级,0.01 ~ 0.7,久经沙场,773774,CS20 Case,rarity_ancient_weapon,StatTrak™ AWP | Wildfire,crate-4669,515.12
CS20 Case,AWP（StatTrak™） | 野火,隐秘级,0.01 ~ 0.7,破损不堪,773819,CS20 Case,rarity_ancient_weapon,StatTrak™ AWP | Wildfire,crate-4669,723.75
CS20 Case,AWP（StatTrak™） | 野火,隐秘级,0.01 ~ 0.7,战痕累累,773805,CS20 Case,rarity_ancient_weapon,StatTrak™ AWP | Wildfire,crate-4669,492.6
CS20 Case,法玛斯 | 纪念碑,隐秘级,0 ~ 0.5,崭新出厂,773668,CS20 Case,rarity_ancient_weapon,FAMAS | Commemoration,crate-4669,442.25
CS20 Case,法玛斯 | 纪念碑,隐秘级,0 ~ 0.5,略有磨损,773757,CS20 Case,rarity_ancient_weapon,FAMAS | Commemoration,crate-4669,212.0
CS20 Case,法玛斯 | 纪念碑,隐秘级,0 ~ 0.5,久经沙场,773688,CS20 Case,rarity_ancient_weapon,FAMAS | Commemoration,crate-4669,181.04
CS20 Case,法玛斯 | 纪念碑,隐秘级,0 ~ 0.5,破损不堪,773742,CS20 Case,rarity_ancient_weapon,FAMAS | Commemoration,crate-4669,208.34
CS20 Case,法玛斯 | 纪念碑,隐秘级,0 ~ 0.5,破损不堪,773776,CS20 Case,rarity_ancient_weapon,FAMAS | Commemoration,crate-4669,208.34
CS20 Case,法玛斯（StatTrak™） | 纪念碑,隐秘级,0 ~ 0.5,崭新出厂,773780,CS20 Case,rarity_ancient_weapon,StatTrak™ FAMAS | Commemoration,crate-4669,488.88
CS20 Case,法玛斯（StatTrak™） | 纪念碑,隐秘级,0 ~ 0.5,略有磨损,773765,CS20 Case,rarity_ancient_weapon,StatTrak™ FAMAS | Commemoration,crate-4669,289.3
CS20 Case,法玛斯（StatTrak™） | 纪念碑,隐秘级,0 ~ 0.5,久经沙场,773764,CS20 Case,rarity_ancient_weapon,StatTrak™ FAMAS | Commemoration,crate-4669,227.0
CS20 Case,法玛斯（StatTrak™） | 纪念碑,隐秘级,0 ~ 0.5,破损不堪,773866,CS20 Case,rarity_ancient_weapon,StatTrak™ FAMAS | Commemoration,crate-4669,999.0
CS20 Case,法玛斯（StatTrak™） | 纪念碑,隐秘级,0 ~ 0.5,战痕累累,773870,CS20 Case,rarity_ancient_weapon,StatTrak™ FAMAS | Commemoration,crate-4669,302.0
CS:GO Weapon Case,AWP | 雷击,隐秘级,0 ~ 0.08,崭新出厂,34099,CS:GO Weapon Case,rarity_ancient_weapon,AWP | Lightning Strike,crate-4001,3088.0
CS:GO Weapon Case,AWP | 雷击,隐秘级,0 ~ 0.08,略有磨损,34100,CS:GO Weapon Case,rarity_ancient_weapon,AWP | Lightning Strike,crate-4001,3648.0
CS:GO Weapon Case,AWP（StatTrak™） | 雷击,隐秘级,0 ~ 0.08,崭新出厂,38310,CS:GO Weapon Case,rarity_ancient_weapon,StatTrak™ AWP | Lightning Strike,crate-4001,5936.19
CS:GO Weapon Case,AWP（StatTrak™） | 雷击,隐秘级,0 ~ 0.08,略有磨损,38311,CS:GO Weapon Case,rarity_ancient_weapon,StatTrak™ AWP | Lightning Strike,crate-4001,12330.17
CS:GO Weapon Case 2,SSG 08 | 水中之血,隐秘级,0.06 ~ 0.2,崭新出厂,36532,CS:GO Weapon Case 2,rarity_ancient_weapon,SSG 08 | Blood in the Water,crate-4004,967.8
CS:GO Weapon Case 2,SSG 08 | 水中之血,隐秘级,0.06 ~ 0.2,略有磨损,36534,CS:GO Weapon Case 2,rarity_ancient_weapon,SSG 08 | Blood in the Water,crate-4004,610.26
CS:GO Weapon Case 2,SSG 08 | 水中之血,隐秘级,0.06 ~ 0.2,久经沙场,36533,CS:GO Weapon Case 2,rarity_ancient_weapon,SSG 08 | Blood in the Water,crate-4004,738.3
CS:GO Weapon Case 2,SSG 08（StatTrak™） | 水中之血,隐秘级,0.06 ~ 0.2,崭新出厂,39545,CS:GO Weapon Case 2,rarity_ancient_weapon,StatTrak™ SSG 08 | Blood in the Water,crate-4004,4272.0
CS:GO Weapon Case 2,SSG 08（StatTrak™） | 水中之血,隐秘级,0.06 ~ 0.2,略有磨损,39547,CS:GO Weapon Case 2,rarity_ancient_weapon,StatTrak™ SSG 08 | Blood in the Water,crate-4004,1663.78
CS:GO Weapon Case 2,SSG 08（StatTrak™） | 水中之血,隐秘级,0.06 ~ 0.2,久经沙场,39546,CS:GO Weapon Case 2,rarity_ancient_weapon,StatTrak™ SSG 08 | Blood in the Water,crate-4004,1776.65
CS:GO Weapon Case 3,CZ75自动型 | 维多利亚,隐秘级,0 ~ 0.75,崭新出厂,34354,CS:GO Weapon Case 3,rarity_ancient_weapon,CZ75-Auto | Victoria,crate-4010,705.39
CS:GO Weapon Case 3,CZ75自动型 | 维多利亚,隐秘级,0 ~ 0.75,略有磨损,34356,CS:GO Weapon Case 3,rarity_ancient_weapon,CZ75-Auto | Victoria,crate-4010,555.88
CS:GO Weapon Case 3,CZ75自动型 | 维多利亚,隐秘级,0 ~ 0.75,久经沙场,34355,CS:GO Weapon Case 3,rarity_ancient_weapon,CZ75-Auto | Victoria,crate-4010,552.3
CS:GO Weapon Case 3,CZ75自动型 | 维多利亚,隐秘级,0 ~ 0.75,破损不堪,34357,CS:GO Weapon Case 3,rarity_ancient_weapon,CZ75-Auto | Victoria,crate-4010,608.6
CS:GO Weapon Case 3,CZ75自动型 | 维多利亚,隐秘级,0 ~ 0.75,战痕累累,34353,CS:GO Weapon Case 3,rarity_ancient_weapon,CZ75-Auto | Victoria,crate-4010,514.39
CS:GO Weapon Case 3,CZ75自动型（StatTrak™） | 维多利亚,隐秘级,0 ~ 0.75,崭新出厂,38383,CS:GO Weapon Case 3,rarity_ancient_weapon,StatTrak™ CZ75-Auto | Victoria,crate-4010,1198.61
CS:GO Weapon Case 3,CZ75自动型（StatTrak™） | 维多利亚,隐秘级,0 ~ 0.75,略有磨损,38385,CS:GO Weapon Case 3,rarity_ancient_weapon,StatTrak™ CZ75-Auto | Victoria,crate-4010,614.81
CS:GO Weapon Case 3,CZ75自动型（StatTrak™） | 维多利亚,隐秘级,0 ~ 0.75,久经沙场,38384,CS:GO Weapon Case 3,rarity_ancient_weapon,StatTrak™ CZ75-Auto | Victoria,crate-4010,531.31
CS:GO Weapon Case 3,CZ75自动型（StatTrak™） | 维多利亚,隐秘级,0 ~ 0.75,破损不堪,38386,CS:GO Weapon Case 3,rarity_ancient_weapon,StatTrak™ CZ75-Auto | Victoria,crate-4010,610.57
CS:GO Weapon Case 3,CZ75自动型（StatTrak™） | 维多利亚,隐秘级,0 ~ 0.75,战痕累累,38382,CS:GO Weapon Case 3,rarity_ancient_weapon,StatTrak™ CZ75-Auto | Victoria,crate-4010,724.07
Chroma 2 Case,M4A1消音版 | 暴怒野兽,隐秘级,0 ~ 1,崭新出厂,35219,Chroma 2 Case,rarity_ancient_weapon,M4A1-S | Hyper Beast,crate-4089,1919.0
Chroma 2 Case,M4A1消音版 | 暴怒野兽,隐秘级,0 ~ 1,略有磨损,35221,Chroma 2 Case,rarity_ancient_weapon,M4A1-S | Hyper Beast,crate-4089,840.28
Chroma 2 Case,M4A1消音版 | 暴怒野兽,隐秘级,0 ~ 1,久经沙场,35220,Chroma 2 Case,rarity_ancient_weapon,M4A1-S | Hyper Beast,crate-4089,854.99
Chroma 2 Case,M4A1消音版 | 暴怒野兽,隐秘级,0 ~ 1,破损不堪,35222,Chroma 2 Case,rarity_ancient_weapon,M4A1-S | Hyper Beast,crate-4089,784.84
Chroma 2 Case,M4A1消音版 | 暴怒野兽,隐秘级,0 ~ 1,战痕累累,35218,Chroma 2 Case,rarity_ancient_weapon,M4A1-S | Hyper Beast,crate-4089,791.77
Chroma 2 Case,M4A1消音版（StatTrak™） | 暴怒野兽,隐秘级,0 ~ 1,崭新出厂,38829,Chroma 2 Case,rarity_ancient_weapon,StatTrak™ M4A1-S | Hyper Beast,crate-4089,2856.1
Chroma 2 Case,M4A1消音版（StatTrak™） | 暴怒野兽,隐秘级,0 ~ 1,略有磨损,38831,Chroma 2 Case,rarity_ancient_weapon,StatTrak™ M4A1-S | Hyper Beast,crate-4089,1045.57
Chroma 2 Case,M4A1消音版（StatTrak™） | 暴怒野兽,隐秘级,0 ~ 1,久经沙场,38830,Chroma 2 Case,rarity_ancient_weapon,StatTrak™ M4A1-S | Hyper Beast,crate-4089,756.89
Chroma 2 Case,M4A1消音版（StatTrak™） | 暴怒野兽,隐秘级,0 ~ 1,破损不堪,38832,Chroma 2 Case,rarity_ancient_weapon,StatTrak™ M4A1-S | Hyper Beast,crate-4089,762.39
Chroma 2 Case,M4A1消音版（StatTrak™） | 暴怒野兽,隐秘级,0 ~ 1,战痕累累,38828,Chroma 2 Case,rarity_ancient_weapon,StatTrak™ M4A1-S | Hyper Beast,crate-4089,785.52
Chroma 2 Case,MAC-10 | 霓虹骑士,隐秘级,0 ~ 0.45,崭新出厂,35414,Chroma 2 Case,rarity_ancient_weapon,MAC-10 | Neon Rider,crate-4089,868.98
Chroma 2 Case,MAC-10 | 霓虹骑士,隐秘级,0 ~ 0.45,略有磨损,35416,Chroma 2 Case,rarity_ancient_weapon,MAC-10 | Neon Rider,crate-4089,826.2
Chroma 2 Case,MAC-10 | 霓虹骑士,隐秘级,0 ~ 0.45,久经沙场,35415,Chroma 2 Case,rarity_ancient_weapon,MAC-10 | Neon Rider,crate-4089,818.29
Chroma 2 Case,MAC-10 | 霓虹骑士,隐秘级,0 ~ 0.45,破损不堪,35417,Chroma 2 Case,rarity_ancient_weapon,MAC-10 | Neon Rider,crate-4089,868.84
Chroma 2 Case,MAC-10（StatTrak™） | 霓虹骑士,隐秘级,0 ~ 0.45,崭新出厂,38947,Chroma 2 Case,rarity_ancient_weapon,StatTrak™ MAC-10 | Neon Rider,crate-4089,963.0
Chroma 2 Case,MAC-10（StatTrak™） | 霓虹骑士,隐秘级,0 ~ 0.45,略有磨损,38949,Chroma 2 Case,rarity_ancient_weapon,StatTrak™ MAC-10 | Neon Rider,crate-4089,814.37
Chroma 2 Case,MAC-10（StatTrak™） | 霓虹骑士,隐秘级,0 ~ 0.45,久经沙场,38948,Chroma 2 Case,rarity_ancient_weapon,StatTrak™ MAC-10 | Neon Rider,crate-4089,701.9
Chroma 2 Case,MAC-10（StatTrak™） | 霓虹骑士,隐秘级,0 ~ 0.45,破损不堪,38950,Chroma 2 Case,rarity_ancient_weapon,StatTrak™ MAC-10 | Neon Rider,crate-4089,1020.0
Chroma 3 Case,M4A1消音版 | 女火神之炽焰,隐秘级,0 ~ 0.99,崭新出厂,35185,Chroma 3 Case,rarity_ancient_weapon,M4A1-S | Chantico's Fire,crate-4233,1754.62
Chroma 3 Case,M4A1消音版 | 女火神之炽焰,隐秘级,0 ~ 0.99,略有磨损,35187,Chroma 3 Case,rarity_ancient_weapon,M4A1-S | Chantico's Fire,crate-4233,849.0
Chroma 3 Case,M4A1消音版 | 女火神之炽焰,隐秘级,0 ~ 0.99,久经沙场,35186,Chroma 3 Case,rarity_ancient_weapon,M4A1-S | Chantico's Fire,crate-4233,813.6
Chroma 3 Case,M4A1消音版 | 女火神之炽焰,隐秘级,0 ~ 0.99,破损不堪,35188,Chroma 3 Case,rarity_ancient_weapon,M4A1-S | Chantico's Fire,crate-4233,788.5
Chroma 3 Case,M4A1消音版 | 女火神之炽焰,隐秘级,0 ~ 0.99,战痕累累,35184,Chroma 3 Case,rarity_ancient_weapon,M4A1-S | Chantico's Fire,crate-4233,783.18
Chroma 3 Case,M4A1消音版（StatTrak™） | 女火神之炽焰,隐秘级,0 ~ 0.99,崭新出厂,38800,Chroma 3 Case,rarity_ancient_weapon,StatTrak™ M4A1-S | Chantico's Fire,crate-4233,2184.73
Chroma 3 Case,M4A1消音版（StatTrak™） | 女火神之炽焰,隐秘级,0 ~ 0.99,略有磨损,38802,Chroma 3 Case,rarity_ancient_weapon,StatTrak™ M4A1-S | Chantico's Fire,crate-4233,917.0
Chroma 3 Case,M4A1消音版（StatTrak™） | 女火神之炽焰,隐秘级,0 ~ 0.99,久经沙场,38801,Chroma 3 Case,rarity_ancient_weapon,StatTrak™ M4A1-S | Chantico's Fire,crate-4233,776.43
Chroma 3 Case,M4A1消音版（StatTrak™） | 女火神之炽焰,隐秘级,0 ~ 0.99,破损不堪,38803,Chroma 3 Case,rarity_ancient_weapon,StatTrak™ M4A1-S | Chantico's Fire,crate-4233,708.0
Chroma 3 Case,M4A1消音版（StatTrak™） | 女火神之炽焰,隐秘级,0 ~ 0.99,战痕累累,38799,Chroma 3 Case,rarity_ancient_weapon,StatTrak™ M4A1-S | Chantico's Fire,crate-4233,714.69
Chroma 3 Case,PP-野牛 | 阿努比斯之审判,隐秘级,0 ~ 0.5,崭新出厂,36271,Chroma 3 Case,rarity_ancient_weapon,PP-Bizon | Judgement of Anubis,crate-4233,859.8
Chroma 3 Case,PP-野牛 | 阿努比斯之审判,隐秘级,0 ~ 0.5,略有磨损,36273,Chroma 3 Case,rarity_ancient_weapon,PP-Bizon | Judgement of Anubis,crate-4233,811.9
Chroma 3 Case,PP-野牛 | 阿努比斯之审判,隐秘级,0 ~ 0.5,久经沙场,36272,Chroma 3 Case,rarity_ancient_weapon,PP-Bizon | Judgement of Anubis,crate-4233,815.97
Chroma 3 Case,PP-野牛 | 阿努比斯之审判,隐秘级,0 ~ 0.5,破损不堪,36274,Chroma 3 Case,rarity_ancient_weapon,PP-Bizon | Judgement of Anubis,crate-4233,797.69
Chroma 3 Case,PP-野牛 | 阿努比斯之审判,隐秘级,0 ~ 0.5,战痕累累,36270,Chroma 3 Case,rarity_ancient_weapon,PP-Bizon | Judgement of Anubis,crate-4233,805.3
Chroma 3 Case,PP-野牛（StatTrak™） | 阿努比斯之审判,隐秘级,0 ~ 0.5,崭新出厂,39400,Chroma 3 Case,rarity_ancient_weapon,StatTrak™ PP-Bizon | Judgement of Anubis,crate-4233,828.0
Chroma 3 Case,PP-野牛（StatTrak™） | 阿努比斯之审判,隐秘级,0 ~ 0.5,略有磨损,39402,Chroma 3 Case,rarity_ancient_weapon,StatTrak™ PP-Bizon | Judgement of Anubis,crate-4233,760.0
Chroma 3 Case,PP-野牛（StatTrak™） | 阿努比斯之审判,隐秘级,0 ~ 0.5,久经沙场,39401,Chroma 3 Case,rarity_ancient_weapon,StatTrak™ PP-Bizon | Judgement of Anubis,crate-4233,737.38
Chroma 3 Case,PP-野牛（StatTrak™） | 阿努比斯之审判,隐秘级,0 ~ 0.5,破损不堪,39403,Chroma 3 Case,rarity_ancient_weapon,StatTrak™ PP-Bizon | Judgement of Anubis,crate-4233,10000.0
Chroma 3 Case,PP-野牛（StatTrak™） | 阿努比斯之审判,隐秘级,0 ~ 0.5,战痕累累,39399,Chroma 3 Case,rarity_ancient_weapon,StatTrak™ PP-Bizon | Judgement of Anubis,crate-4233,787.1
Chroma Case,AWP | 无畏战神,隐秘级,0.1 ~ 0.2,略有磨损,34102,Chroma Case,rarity_ancient_weapon,AWP | Man-o'-war ,crate-4061,819.5
Chroma Case,AWP | 无畏战神,隐秘级,0.1 ~ 0.2,久经沙场,34101,Chroma Case,rarity_ancient_weapon,AWP | Man-o'-war ,crate-4061,829.81
Chroma Case,AWP（StatTrak™） | 无畏战神,隐秘级,0.1 ~ 0.2,略有磨损,38312,Chroma Case,rarity_ancient_weapon,StatTrak™ AWP | Man-o'-war,crate-4061,778.34
Chroma Case,AWP（StatTrak™） | 无畏战神,隐秘级,0.1 ~ 0.2,久经沙场,43914,Chroma Case,rarity_ancient_weapon,StatTrak™ AWP | Man-o'-war,crate-4061,787.53
Chroma Case,加利尔AR | 喧闹骷髅,隐秘级,0.35 ~ 0.85,久经沙场,34907,Chroma Case,rarity_ancient_weapon,Galil AR | Chatterbox,crate-4061,1098.5
Chroma Case,加利尔AR | 喧闹骷髅,隐秘级,0.35 ~ 0.85,破损不堪,34908,Chroma Case,rarity_ancient_weapon,Galil AR | Chatterbox,crate-4061,809.35
Chroma Case,加利尔AR | 喧闹骷髅,隐秘级,0.35 ~ 0.85,战痕累累,34906,Chroma Case,rarity_ancient_weapon,Galil AR | Chatterbox,crate-4061,785.27
Chroma Case,加利尔AR（StatTrak™） | 喧闹骷髅,隐秘级,0.35 ~ 0.85,久经沙场,38649,Chroma Case,rarity_ancient_weapon,StatTrak™ Galil AR | Chatterbox,crate-4061,4671.0
Chroma Case,加利尔AR（StatTrak™） | 喧闹骷髅,隐秘级,0.35 ~ 0.85,破损不堪,38650,Chroma Case,rarity_ancient_weapon,StatTrak™ Galil AR | Chatterbox,crate-4061,821.71
Chroma Case,加利尔AR（StatTrak™） | 喧闹骷髅,隐秘级,0.35 ~ 0.85,战痕累累,38648,Chroma Case,rarity_ancient_weapon,StatTrak™ Galil AR | Chatterbox,crate-4061,749.31
Clutch Case,M4A4 | 黑色魅影,隐秘级,0 ~ 0.9,崭新出厂,45261,Clutch Case,rarity_ancient_weapon,M4A4 | Neo-Noir,crate-4471,703.4
Clutch Case,M4A4 | 黑色魅影,隐秘级,0 ~ 0.9,略有磨损,45385,Clutch Case,rarity_ancient_weapon,M4A4 | Neo-Noir,crate-4471,320.0
Clutch Case,M4A4 | 黑色魅影,隐秘级,0 ~ 0.9,久经沙场,45262,Clutch Case,rarity_ancient_weapon,M4A4 | Neo-Noir,crate-4471,219.0
Clutch Case,M4A4 | 黑色魅影,隐秘级,0 ~ 0.9,破损不堪,45263,Clutch Case,rarity_ancient_weapon,M4A4 | Neo-Noir,crate-4471,197.44
Clutch Case,M4A4 | 黑色魅影,隐秘级,0 ~ 0.9,战痕累累,45384,Clutch Case,rarity_ancient_weapon,M4A4 | Neo-Noir,crate-4471,169.81
Clutch Case,MP7 | 血腥运动,隐秘级,0 ~ 0.65,崭新出厂,45269,Clutch Case,rarity_ancient_weapon,MP7 | Bloodsport,crate-4471,488.45
Clutch Case,MP7 | 血腥运动,隐秘级,0 ~ 0.65,略有磨损,45386,Clutch Case,rarity_ancient_weapon,MP7 | Bloodsport,crate-4471,243.23
Clutch Case,MP7 | 血腥运动,隐秘级,0 ~ 0.65,久经沙场,45270,Clutch Case,rarity_ancient_weapon,MP7 | Bloodsport,crate-4471,213.29
Clutch Case,MP7 | 血腥运动,隐秘级,0 ~ 0.65,破损不堪,45465,Clutch Case,rarity_ancient_weapon,MP7 | Bloodsport,crate-4471,202.2
Clutch Case,MP7 | 血腥运动,隐秘级,0 ~ 0.65,战痕累累,45464,Clutch Case,rarity_ancient_weapon,MP7 | Bloodsport,crate-4471,185.03
Danger Zone Case,AK-47 | 二西莫夫,隐秘级,0.05 ~ 0.7,崭新出厂,763469,Danger Zone Case,rarity_ancient_weapon,AK-47 | Asiimov,crate-4548,2445.17
Danger Zone Case,AK-47 | 二西莫夫,隐秘级,0.05 ~ 0.7,略有磨损,763311,Danger Zone Case,rarity_ancient_weapon,AK-47 | Asiimov,crate-4548,354.09
Danger Zone Case,AK-47 | 二西莫夫,隐秘级,0.05 ~ 0.7,久经沙场,763250,Danger Zone Case,rarity_ancient_weapon,AK-47 | Asiimov,crate-4548,258.97
Danger Zone Case,AK-47 | 二西莫夫,隐秘级,0.05 ~ 0.7,破损不堪,763504,Danger Zone Case,rarity_ancient_weapon,AK-47 | Asiimov,crate-4548,263.48
