皮肤名称,市场哈希名称,平台,平台物品ID
AWP | 响尾蛇 (略有磨损),AWP | Pit Viper (Minimal Wear),C5,22313
AWP | 响尾蛇 (略有磨损),AWP | Pit Viper (Minimal Wear),HALOSKINS,22313
AWP | 响尾蛇 (略有磨损),AWP | Pit Viper (Minimal Wear),YOUPIN,2923
AWP | 响尾蛇 (略有磨损),AWP | Pit Viper (Minimal Wear),BUFF,34123
法玛斯 | 殖民侵略者 (破损不堪),FAMAS | Colony (Well-Worn),C5,22314
法玛斯 | 殖民侵略者 (破损不堪),FAMAS | Colony (Well-Worn),BUFF,34628
法玛斯 | 殖民侵略者 (破损不堪),FAMAS | Colony (Well-Worn),YOUPIN,9533
法玛斯 | 殖民侵略者 (破损不堪),FAMAS | Colony (Well-Worn),HALOSKINS,22314
FN57 | 耍猴把戏 (久经沙场),Five-SeveN | Monkey Business (Field-Tested),C5,22315
FN57 | 耍猴把戏 (久经沙场),Five-SeveN | Monkey Business (Field-Tested),YOUPIN,1313
FN57 | 耍猴把戏 (久经沙场),Five-SeveN | Monkey Business (Field-Tested),BUFF,34756
FN57 | 耍猴把戏 (久经沙场),Five-SeveN | Monkey Business (Field-Tested),HALOSKINS,22315
新星 | 惊惧骷髅 (略有磨损),Nova | Rising Skull (Minimal Wear),YOUPIN,49667
新星 | 惊惧骷髅 (略有磨损),Nova | Rising Skull (Minimal Wear),BUFF,35862
新星 | 惊惧骷髅 (略有磨损),Nova | Rising Skull (Minimal Wear),C5,22316
新星 | 惊惧骷髅 (略有磨损),Nova | Rising Skull (Minimal Wear),HALOSKINS,22316
沙漠之鹰（StatTrak™） | 纳迦蛇神 (破损不堪),StatTrak™ Desert Eagle | Naga (Well-Worn),YOUPIN,48475
沙漠之鹰（StatTrak™） | 纳迦蛇神 (破损不堪),StatTrak™ Desert Eagle | Naga (Well-Worn),C5,22317
沙漠之鹰（StatTrak™） | 纳迦蛇神 (破损不堪),StatTrak™ Desert Eagle | Naga (Well-Worn),BUFF,38440
沙漠之鹰（StatTrak™） | 纳迦蛇神 (破损不堪),StatTrak™ Desert Eagle | Naga (Well-Worn),HALOSKINS,22317
AWP | 响尾蛇 (久经沙场),AWP | Pit Viper (Field-Tested),C5,22318
AWP | 响尾蛇 (久经沙场),AWP | Pit Viper (Field-Tested),HALOSKINS,22318
AWP | 响尾蛇 (久经沙场),AWP | Pit Viper (Field-Tested),YOUPIN,2924
AWP | 响尾蛇 (久经沙场),AWP | Pit Viper (Field-Tested),BUFF,34122
MP7 | 装甲核心 (久经沙场),MP7 | Armor Core (Field-Tested),BUFF,35555
MP7 | 装甲核心 (久经沙场),MP7 | Armor Core (Field-Tested),YOUPIN,1182
MP7 | 装甲核心 (久经沙场),MP7 | Armor Core (Field-Tested),C5,22319
MP7 | 装甲核心 (久经沙场),MP7 | Armor Core (Field-Tested),HALOSKINS,22319
AUG | 变色龙 (久经沙场),AUG | Chameleon (Field-Tested),BUFF,34002
AUG | 变色龙 (久经沙场),AUG | Chameleon (Field-Tested),YOUPIN,660
AUG | 变色龙 (久经沙场),AUG | Chameleon (Field-Tested),C5,22320
AUG | 变色龙 (久经沙场),AUG | Chameleon (Field-Tested),HALOSKINS,22320
AUG | 力矩 (崭新出厂),AUG | Torque (Factory New),BUFF,34054
AUG | 力矩 (崭新出厂),AUG | Torque (Factory New),C5,22321
AUG | 力矩 (崭新出厂),AUG | Torque (Factory New),YOUPIN,1214
AUG | 力矩 (崭新出厂),AUG | Torque (Factory New),HALOSKINS,22321
AUG | 鹰翼 (崭新出厂),AUG | Wings (Factory New),C5,22322
AUG | 鹰翼 (崭新出厂),AUG | Wings (Factory New),YOUPIN,43331
AUG | 鹰翼 (崭新出厂),AUG | Wings (Factory New),BUFF,34063
AUG | 鹰翼 (崭新出厂),AUG | Wings (Factory New),HALOSKINS,22322
P250 | 富兰克林 (略有磨损),P250 | Franklin (Minimal Wear),BUFF,36019
P250 | 富兰克林 (略有磨损),P250 | Franklin (Minimal Wear),C5,22323
P250 | 富兰克林 (略有磨损),P250 | Franklin (Minimal Wear),YOUPIN,2669
P250 | 富兰克林 (略有磨损),P250 | Franklin (Minimal Wear),HALOSKINS,22323
M4A4 | 沙漠精英 (久经沙场),M4A4 | Desert-Strike (Field-Tested),C5,22324
M4A4 | 沙漠精英 (久经沙场),M4A4 | Desert-Strike (Field-Tested),YOUPIN,384
M4A4 | 沙漠精英 (久经沙场),M4A4 | Desert-Strike (Field-Tested),BUFF,35277
M4A4 | 沙漠精英 (久经沙场),M4A4 | Desert-Strike (Field-Tested),HALOSKINS,22324
AK-47 | 翡翠细条纹 (久经沙场),AK-47 | Emerald Pinstripe (Field-Tested),YOUPIN,437
AK-47 | 翡翠细条纹 (久经沙场),AK-47 | Emerald Pinstripe (Field-Tested),C5,22325
AK-47 | 翡翠细条纹 (久经沙场),AK-47 | Emerald Pinstripe (Field-Tested),HALOSKINS,22325
AK-47 | 翡翠细条纹 (久经沙场),AK-47 | Emerald Pinstripe (Field-Tested),BUFF,33891
M4A4 | 杀意大名 (久经沙场),M4A4 | Evil Daimyo (Field-Tested),C5,22326
M4A4 | 杀意大名 (久经沙场),M4A4 | Evil Daimyo (Field-Tested),HALOSKINS,22326
M4A4 | 杀意大名 (久经沙场),M4A4 | Evil Daimyo (Field-Tested),YOUPIN,1458
M4A4 | 杀意大名 (久经沙场),M4A4 | Evil Daimyo (Field-Tested),BUFF,33811
SSG 08 | 渐变强酸 (崭新出厂),SSG 08 | Acid Fade (Factory New),C5,22327
SSG 08 | 渐变强酸 (崭新出厂),SSG 08 | Acid Fade (Factory New),BUFF,36526
SSG 08 | 渐变强酸 (崭新出厂),SSG 08 | Acid Fade (Factory New),HALOSKINS,22327
SSG 08 | 渐变强酸 (崭新出厂),SSG 08 | Acid Fade (Factory New),YOUPIN,4579
PP-野牛 | 死亡主宰者 (崭新出厂),PP-Bizon | Osiris (Factory New),BUFF,36291
PP-野牛 | 死亡主宰者 (崭新出厂),PP-Bizon | Osiris (Factory New),C5,22328
PP-野牛 | 死亡主宰者 (崭新出厂),PP-Bizon | Osiris (Factory New),HALOSKINS,22328
PP-野牛 | 死亡主宰者 (崭新出厂),PP-Bizon | Osiris (Factory New),YOUPIN,11217
AWP | 蠕虫之神 (略有磨损),AWP | Worm God (Minimal Wear),C5,22329
AWP | 蠕虫之神 (略有磨损),AWP | Worm God (Minimal Wear),HALOSKINS,22329
AWP | 蠕虫之神 (略有磨损),AWP | Worm God (Minimal Wear),BUFF,34145
AWP | 蠕虫之神 (略有磨损),AWP | Worm God (Minimal Wear),YOUPIN,2225
P90 | 沙漠战争 (破损不堪),P90 | Desert Warfare (Well-Worn),YOUPIN,61978
P90 | 沙漠战争 (破损不堪),P90 | Desert Warfare (Well-Worn),C5,22330
P90 | 沙漠战争 (破损不堪),P90 | Desert Warfare (Well-Worn),BUFF,36141
P90 | 沙漠战争 (破损不堪),P90 | Desert Warfare (Well-Worn),HALOSKINS,22330
USP消音版 | 守护者 (久经沙场),USP-S | Guardian (Field-Tested),BUFF,42178
USP消音版 | 守护者 (久经沙场),USP-S | Guardian (Field-Tested),C5,22331
USP消音版 | 守护者 (久经沙场),USP-S | Guardian (Field-Tested),YOUPIN,43647
USP消音版 | 守护者 (久经沙场),USP-S | Guardian (Field-Tested),HALOSKINS,22331
FN57（StatTrak™） | 夜影 (久经沙场),StatTrak™ Five-SeveN | Nightshade (Field-Tested),BUFF,38578
FN57（StatTrak™） | 夜影 (久经沙场),StatTrak™ Five-SeveN | Nightshade (Field-Tested),YOUPIN,43723
FN57（StatTrak™） | 夜影 (久经沙场),StatTrak™ Five-SeveN | Nightshade (Field-Tested),C5,22332
FN57（StatTrak™） | 夜影 (久经沙场),StatTrak™ Five-SeveN | Nightshade (Field-Tested),HALOSKINS,22332
AWP | 蠕虫之神 (久经沙场),AWP | Worm God (Field-Tested),HALOSKINS,22333
AWP | 蠕虫之神 (久经沙场),AWP | Worm God (Field-Tested),C5,22333
AWP | 蠕虫之神 (久经沙场),AWP | Worm God (Field-Tested),BUFF,34144
AWP | 蠕虫之神 (久经沙场),AWP | Worm God (Field-Tested),YOUPIN,3793
USP消音版 | 守护者 (崭新出厂),USP-S | Guardian (Factory New),C5,22334
USP消音版 | 守护者 (崭新出厂),USP-S | Guardian (Factory New),YOUPIN,190
USP消音版 | 守护者 (崭新出厂),USP-S | Guardian (Factory New),BUFF,42177
USP消音版 | 守护者 (崭新出厂),USP-S | Guardian (Factory New),HALOSKINS,22334
格洛克18型（StatTrak™） | 亡者之寝 (久经沙场),StatTrak™ Glock-18 | Catacombs (Field-Tested),C5,22335
格洛克18型（StatTrak™） | 亡者之寝 (久经沙场),StatTrak™ Glock-18 | Catacombs (Field-Tested),YOUPIN,9531
格洛克18型（StatTrak™） | 亡者之寝 (久经沙场),StatTrak™ Glock-18 | Catacombs (Field-Tested),BUFF,38710
格洛克18型（StatTrak™） | 亡者之寝 (久经沙场),StatTrak™ Glock-18 | Catacombs (Field-Tested),HALOSKINS,22335
“凤凰大行动”武器箱,Operation Phoenix Weapon Case,C5,22336
“凤凰大行动”武器箱,Operation Phoenix Weapon Case,YOUPIN,1176
“凤凰大行动”武器箱,Operation Phoenix Weapon Case,BUFF,35890
“凤凰大行动”武器箱,Operation Phoenix Weapon Case,HALOSKINS,22336
P250 | 卡特尔 (久经沙场),P250 | Cartel (Field-Tested),C5,22337
P250 | 卡特尔 (久经沙场),P250 | Cartel (Field-Tested),YOUPIN,44347
P250 | 卡特尔 (久经沙场),P250 | Cartel (Field-Tested),BUFF,35999
P250 | 卡特尔 (久经沙场),P250 | Cartel (Field-Tested),HALOSKINS,22337
Tec-9（StatTrak™） | 艾萨克 (破损不堪),StatTrak™ Tec-9 | Isaac (Well-Worn),C5,22338
Tec-9（StatTrak™） | 艾萨克 (破损不堪),StatTrak™ Tec-9 | Isaac (Well-Worn),YOUPIN,45567
Tec-9（StatTrak™） | 艾萨克 (破损不堪),StatTrak™ Tec-9 | Isaac (Well-Worn),BUFF,39653
Tec-9（StatTrak™） | 艾萨克 (破损不堪),StatTrak™ Tec-9 | Isaac (Well-Worn),HALOSKINS,22338
